,clusterName,clusterSize,f_score,recall,precision,TN,FP,FN,TP,marker_count,NSForest_markers,onTarget,binary_genes,uuid
50,Lamp5_1,2849,0.4885654886,0.376,0.5280898876,72476,168,312,188,3,"['ADAMTS20', 'KIT', 'FREM1']",0.05696304142,"['ADAMTS20', 'PDGFD', 'KIT', 'TRPC3', 'LINC00299', 'FREM1', 'PRELID2', 'KCNH5', 'RELN', 'POU6F2']",n950sapvemvk
51,Lamp5_2,2023,0.7316272966,0.446,0.87109375,72611,33,277,223,2,"['PBX3', 'KIT']",0.06907599419,"['MDGA1', 'ROR2', 'DOCK5', 'PBX3', 'CCBE1', 'KIT', 'EYA4', 'FGFR2', 'FBN2', 'DPF3']",hfnglb1nahch
52,Lamp5_3,1925,0.6311576355,0.41,0.7295373665,72568,76,295,205,3,"['CA2', 'CPLX3', 'LAMP5']",0.1440291405,"['C1QL2', 'CA2', 'CPLX3', 'LAMP5', 'HAPLN1', 'KIT', 'HPCAL1', 'HSBP1', 'PMEPA1', 'CRH']",tru8aj4w9spg
53,Lamp5_4,13416,0.4042553191,0.304,0.4405797101,72451,193,348,152,4,"['ROR2', 'TRPC3', 'FBXL7', 'LINC00298']",0.07785058022,"['ROR2', 'TACR1', 'KIT', 'TRPC3', 'FBXL7', 'PKP2', 'PRELID2', 'IL1RAP', 'EPHA3', 'PLCXD3']",itunsjov7amk
54,Lamp5_5,4853,0.625,0.434,0.7022653722,72552,92,283,217,3,"['NDNF', 'NPNT', 'LAMP5']",0.1320927739,"['NMBR', 'ADRA1D', 'NDNF', 'PDGFD', 'NPNT', 'LAMP5', 'COL5A2', 'SV2C', 'RELN', 'FREM1']",ivzqjwkugbco
55,Lamp5_6,962,0.6357493857,0.414,0.7340425532,72569,75,293,207,3,"['NDNF', 'KIT', 'TRPC3']",0.05344220996,"['NDNF', 'MYH11', 'CBLN4', 'KIT', 'TRPC3', 'LINC00299', 'FREM1', 'RELN', 'KCNH5', 'PRELID2']",fmvxi0nxm2v9
56,Lamp5_7,518,0.4224137931,0.294,0.4741935484,72481,163,353,147,3,"['MYH11', 'MT-ND4L', 'KIT']",0.06996128708,"['MYH11', 'CPLX3', 'LAMP5', 'MT-ND4L', 'CBLN4', 'KIT', 'HPCAL1', 'SERPINE2', 'MT-ND5', 'FREM1']",e5eya77kn58w
57,Micro/PVM_1,12217,0.9551056338,0.868,0.9796839729,72635,9,66,434,2,"['APBB1IP', 'DOCK8']",0.8080182076,"['APBB1IP', 'P2RY12', 'FYB1', 'SYK', 'CX3CR1', 'TBXAS1', 'CSF1R', 'PTPRC', 'RUNX1', 'ADAM28']",fvvr1wp4z0n5
58,OPC_1,15670,0.8077994429,0.464,0.9914529915,72642,2,268,232,2,"['OLIG2', 'PDGFRA']",0.586427927,"['GPR17', 'FERMT1', 'OLIG2', 'STK32A', 'OLIG1', 'PDGFRA', 'VCAN', 'MEGF11', 'CA10', 'LRRN1']",t2yloi45cf64
59,Oligo_1,183,0.2461362335,0.4699453552,0.2199488491,72656,305,97,86,2,"['CERCAM', 'DOCK5']",0.2140817642,"['CERCAM', 'CNDP1', 'PLP1', 'ENPP2', 'ST18', 'DOCK5', 'RNF220', 'QDPR', 'MT-ND5', 'NCKAP5']",o7nt6y68f7cn
60,Oligo_2,1891,0.8189655172,0.532,0.9466192171,72629,15,234,266,2,"['MBOAT1', 'PLP1']",0.6212890148,"['MBOAT1', 'LRRC63', 'KANK4', 'LRP2', 'SLC5A11', 'ANLN', 'MOBP', 'LINC00609', 'CDK18', 'COL18A1']",xv0bzuaoogdy
61,Oligo_3,346,0.713610586,0.436416185,0.8483146067,72771,27,195,151,2,"['OPALIN', 'LINC01170']",0.4224693179,"['EMC10', 'OPALIN', 'MAL', 'MAG', 'LINC01170', 'PLP1', 'CLDN11', 'DOCK5', 'HHIP', 'CREB5']",y2n6a4kxr06o
62,Oligo_4,49396,0.5434782609,0.4,0.5970149254,72509,135,300,200,3,"['OPALIN', 'TRIM59', 'CERCAM']",0.3512031734,"['OPALIN', 'TRIM59', 'CERCAM', 'CNDP1', 'PLP1', 'MOG', 'ENPP2', 'MOBP', 'ST18', 'DOCK5']",j1h7dcsokbnd
63,Pax6_1,1406,0.7674262735,0.458,0.9233870968,72625,19,271,229,3,"['IGFBP7', 'EPS8', 'HCRTR2']",0.06253144145,"['DOCK8', 'RGS10', 'SLC17A8', 'IGFBP7', 'EPS8', 'ARHGAP6', 'YJEFN3', 'FREM1', 'PLCXD3', 'CLMP']",himz92thhern
64,Pax6_2,2906,0.7676056338,0.436,0.947826087,72632,12,282,218,3,"['TGFBR2', 'BCHE', 'RELN']",0.1677905768,"['TGFBR2', 'BCHE', 'DDR2', 'CPLX3', 'WIF1', 'RELN', 'IL1RAPL2', 'GREB1L', 'ALK', 'MYO16']",t0gfv0w01lwc
65,Pax6_3,987,0.7090163934,0.346,0.9611111111,72637,7,327,173,3,"['PBX3', 'PDLIM5', 'FBN2']",0.07763121277,"['MDGA1', 'PBX3', 'PDLIM5', 'SULF2', 'FBN2', 'CHRNA7', 'GFRA2', 'SDK2', 'PLCXD3', 'CCK']",ukeguy0tm57b
